epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,28.725,1.49058,1.60757,1.6076,0.82467,0.60694,0.75272,0.3432,1.78989,1.84154,1.78568,0.0010496,0.0010496,0.0010496
26,29.771,1.36343,1.4416,1.50832,0.82467,0.60694,0.75272,0.3432,1.78989,1.84154,1.78568,0.00101,0.00101,0.00101
27,30.8233,1.40059,1.44549,1.55339,0.82467,0.60694,0.75272,0.3432,1.78989,1.84154,1.78568,0.0009704,0.0009704,0.0009704
28,31.8223,1.45667,1.54667,1.59767,0.86037,0.69942,0.82729,0.46744,1.46434,1.47778,1.46681,0.0009308,0.0009308,0.0009308
29,32.899,1.5086,1.33217,1.68308,0.86037,0.69942,0.82729,0.46744,1.46434,1.47778,1.46681,0.0008912,0.0008912,0.0008912
30,34.0036,1.36212,1.29785,1.52805,0.86037,0.69942,0.82729,0.46744,1.46434,1.47778,1.46681,0.0008516,0.0008516,0.0008516
31,35.0656,1.42957,1.33119,1.60647,0.90331,0.74566,0.88176,0.50593,1.44308,1.34155,1.38383,0.000812,0.000812,0.000812
32,36.1193,1.39689,1.31588,1.4957,0.90331,0.74566,0.88176,0.50593,1.44308,1.34155,1.38383,0.0007724,0.0007724,0.0007724
33,37.2271,1.40413,1.24774,1.50135,0.90331,0.74566,0.88176,0.50593,1.44308,1.34155,1.38383,0.0007328,0.0007328,0.0007328
34,38.3059,1.37723,1.23306,1.51365,0.85071,0.79769,0.88054,0.52177,1.40172,1.26858,1.37068,0.0006932,0.0006932,0.0006932
35,39.3596,1.23245,1.14435,1.41328,0.85071,0.79769,0.88054,0.52177,1.40172,1.26858,1.37068,0.0006536,0.0006536,0.0006536
36,40.4529,1.3725,1.25352,1.58609,0.85071,0.79769,0.88054,0.52177,1.40172,1.26858,1.37068,0.000614,0.000614,0.000614
37,41.5391,1.33323,1.16153,1.41691,0.8548,0.78613,0.87113,0.52222,1.35828,1.23525,1.33126,0.0005744,0.0005744,0.0005744
38,42.6921,1.16727,1.07796,1.4069,0.8548,0.78613,0.87113,0.52222,1.35828,1.23525,1.33126,0.0005348,0.0005348,0.0005348
39,43.7004,1.24567,1.09852,1.44526,0.8548,0.78613,0.87113,0.52222,1.35828,1.23525,1.33126,0.0004952,0.0004952,0.0004952
40,44.7264,1.30555,1.17249,1.44277,0.89498,0.74566,0.87438,0.53369,1.33523,1.21786,1.31217,0.0004556,0.0004556,0.0004556
41,45.8154,1.20909,1.1949,1.44407,0.89498,0.74566,0.87438,0.53369,1.33523,1.21786,1.31217,0.000416,0.000416,0.000416
42,46.8727,1.40596,1.52415,1.6113,0.89498,0.74566,0.87438,0.53369,1.33523,1.21786,1.31217,0.0003764,0.0003764,0.0003764
43,48.0529,1.12546,1.12934,1.33545,0.8461,0.79446,0.88766,0.55506,1.29509,1.17569,1.28468,0.0003368,0.0003368,0.0003368
44,49.0548,1.21991,1.23671,1.43578,0.8461,0.79446,0.88766,0.55506,1.29509,1.17569,1.28468,0.0002972,0.0002972,0.0002972
45,50.0443,1.20725,1.27763,1.45208,0.8461,0.79446,0.88766,0.55506,1.29509,1.17569,1.28468,0.0002576,0.0002576,0.0002576
46,51.0015,0.99947,1.00482,1.23517,0.85441,0.82081,0.90463,0.57211,1.2418,1.1289,1.24688,0.000218,0.000218,0.000218
47,51.9769,1.12156,1.06183,1.33869,0.85441,0.82081,0.90463,0.57211,1.2418,1.1289,1.24688,0.0001784,0.0001784,0.0001784
48,52.9899,1.17388,1.13809,1.41039,0.85441,0.82081,0.90463,0.57211,1.2418,1.1289,1.24688,0.0001388,0.0001388,0.0001388
49,53.9528,1.29491,1.31525,1.51911,0.85641,0.82741,0.91946,0.59424,1.19741,1.07318,1.22426,9.92e-05,9.92e-05,9.92e-05
50,54.8755,1.12305,1.12158,1.37321,0.85641,0.82741,0.91946,0.59424,1.19741,1.07318,1.22426,5.96e-05,5.96e-05,5.96e-05
