epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54024,2.39747,2.83516,2.30659,0.02911,0.75723,0.0254,0.00572,2.1591,3.05938,2.55049,0,0,0
2,2.9797,2.49462,3.02512,2.32136,0.02911,0.75723,0.0256,0.00578,2.1591,3.05938,2.55049,0.000653467,0.000653467,0.000653467
3,4.32945,2.3575,2.77925,2.31431,0.02911,0.75723,0.0256,0.00578,2.1591,3.05938,2.55049,0.00128053,0.00128053,0.00128053
4,5.50666,2.4233,2.88411,2.34743,0.02933,0.76301,0.02433,0.00603,2.14483,3.05791,2.56088,0.0018812,0.0018812,0.0018812
5,6.50914,2.32928,2.90744,2.3229,0.02933,0.76301,0.02433,0.00603,2.14483,3.05791,2.56088,0.0018416,0.0018416,0.0018416
6,7.59909,2.30532,2.75389,2.29757,0.02933,0.76301,0.02433,0.00603,2.14483,3.05791,2.56088,0.001802,0.001802,0.001802
7,8.79813,2.25351,2.73618,2.23909,0.02933,0.76301,0.02499,0.00633,2.13515,3.05681,2.57241,0.0017624,0.0017624,0.0017624
8,9.85625,2.41599,2.89496,2.32942,0.02933,0.76301,0.02499,0.00633,2.13515,3.05681,2.57241,0.0017228,0.0017228,0.0017228
9,10.9702,2.32723,2.8084,2.29436,0.02933,0.76301,0.02499,0.00633,2.13515,3.05681,2.57241,0.0016832,0.0016832,0.0016832
10,12.1821,2.32687,2.7948,2.25871,0.02956,0.76879,0.02526,0.00638,2.13505,3.05409,2.58968,0.0016436,0.0016436,0.0016436
11,13.2644,2.29277,2.8145,2.28822,0.02956,0.76879,0.02526,0.00638,2.13505,3.05409,2.58968,0.001604,0.001604,0.001604
12,14.2771,2.37429,2.98049,2.29251,0.02956,0.76879,0.02526,0.00638,2.13505,3.05409,2.58968,0.0015644,0.0015644,0.0015644
13,15.3862,2.39203,3.0173,2.30263,0.03,0.78035,0.04146,0.00988,3.08417,2.98532,3.02648,0.0015248,0.0015248,0.0015248
14,16.4328,2.11587,2.75997,2.12952,0.03,0.78035,0.04146,0.00988,3.08417,2.98532,3.02648,0.0014852,0.0014852,0.0014852
15,17.6501,2.14844,2.58382,2.07704,0.03,0.78035,0.04146,0.00988,3.08417,2.98532,3.02648,0.0014456,0.0014456,0.0014456
16,18.7657,2.1663,2.64853,2.10507,0.47136,0.35838,0.32024,0.06567,2.44912,2.43621,2.62887,0.001406,0.001406,0.001406
17,19.8438,1.8956,2.29756,1.93549,0.47136,0.35838,0.32024,0.06567,2.44912,2.43621,2.62887,0.0013664,0.0013664,0.0013664
18,20.9155,2.00881,2.43797,2.0785,0.47136,0.35838,0.32024,0.06567,2.44912,2.43621,2.62887,0.0013268,0.0013268,0.0013268
19,21.9667,1.9732,2.29807,1.98701,0.34452,0.30058,0.28508,0.0756,2.35757,2.47722,2.7327,0.0012872,0.0012872,0.0012872
20,23.0717,1.71295,1.88449,1.77856,0.34452,0.30058,0.28508,0.0756,2.35757,2.47722,2.7327,0.0012476,0.0012476,0.0012476
21,24.3029,1.71323,1.8998,1.78048,0.34452,0.30058,0.28508,0.0756,2.35757,2.47722,2.7327,0.001208,0.001208,0.001208
22,25.3572,1.85223,1.92736,1.87298,0.8739,0.28045,0.61203,0.24007,2.04458,2.23763,2.10471,0.0011684,0.0011684,0.0011684
23,26.6737,1.5423,1.68812,1.65916,0.8739,0.28045,0.61203,0.24007,2.04458,2.23763,2.10471,0.0011288,0.0011288,0.0011288
24,27.7117,1.5671,1.69949,1.67242,0.8739,0.28045,0.61203,0.24007,2.04458,2.23763,2.10471,0.0010892,0.0010892,0.0010892
