epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85061,2.45716,2.77077,2.42329,0.01926,0.75362,0.02132,0.00446,2.26601,3.10758,2.72578,0,0,0
2,7.83684,2.44576,2.80068,2.41328,0.01926,0.75362,0.02132,0.00446,2.26601,3.10758,2.72578,0.000653467,0.000653467,0.000653467
3,11.9802,2.4362,2.80862,2.37651,0.01926,0.75362,0.02132,0.00446,2.26601,3.10758,2.72578,0.00128053,0.00128053,0.00128053
4,16.5608,2.43603,2.83616,2.2762,0.02222,0.86957,0.04061,0.01115,2.28235,3.05882,2.89511,0.0018812,0.0018812,0.0018812
5,21.0876,1.88384,2.69733,2.05409,0.02222,0.86957,0.04061,0.01115,2.28235,3.05882,2.89511,0.0018416,0.0018416,0.0018416
6,25.5825,1.92797,2.62989,2.01235,0.02222,0.86957,0.04061,0.01115,2.28235,3.05882,2.89511,0.001802,0.001802,0.001802
7,30.2117,1.8582,2.79131,2.03065,0.02185,0.85507,0.09591,0.02217,2.00189,3.11937,2.54499,0.0017624,0.0017624,0.0017624
8,34.7122,1.60207,2.35536,1.76724,0.02185,0.85507,0.09591,0.02217,2.00189,3.11937,2.54499,0.0017228,0.0017228,0.0017228
9,39.1733,1.66998,2.08575,1.74718,0.02185,0.85507,0.09591,0.02217,2.00189,3.11937,2.54499,0.0016832,0.0016832,0.0016832
10,43.7508,1.72165,2.23382,1.79434,0.02,0.78261,0.32159,0.08611,2.09152,3.04464,2.51343,0.0016436,0.0016436,0.0016436
11,48.2321,1.84318,2.04456,1.91773,0.02,0.78261,0.32159,0.08611,2.09152,3.04464,2.51343,0.001604,0.001604,0.001604
12,52.6194,1.67894,1.94109,1.75628,0.02,0.78261,0.32159,0.08611,2.09152,3.04464,2.51343,0.0015644,0.0015644,0.0015644
13,57.1625,1.88007,2.19638,1.85217,0.06771,0.57971,0.30011,0.08183,2.45736,3.00801,3.03618,0.0015248,0.0015248,0.0015248
14,61.5607,1.55558,1.83254,1.67504,0.06771,0.57971,0.30011,0.08183,2.45736,3.00801,3.03618,0.0014852,0.0014852,0.0014852
15,66.0041,1.55226,1.82675,1.71478,0.06771,0.57971,0.30011,0.08183,2.45736,3.00801,3.03618,0.0014456,0.0014456,0.0014456
16,70.5178,1.57978,1.80461,1.70007,0.6794,0.39935,0.54489,0.23339,1.98375,2.06204,2.162,0.001406,0.001406,0.001406
17,74.8764,1.51386,1.54258,1.62652,0.6794,0.39935,0.54489,0.23339,1.98375,2.06204,2.162,0.0013664,0.0013664,0.0013664
18,79.4408,1.41295,1.55056,1.54877,0.6794,0.39935,0.54489,0.23339,1.98375,2.06204,2.162,0.0013268,0.0013268,0.0013268
19,83.9969,1.34816,1.54758,1.49522,0.54039,0.66667,0.57492,0.21205,1.98619,1.82437,2.04681,0.0012872,0.0012872,0.0012872
20,88.3695,1.31802,1.31061,1.46574,0.54039,0.66667,0.57492,0.21205,1.98619,1.82437,2.04681,0.0012476,0.0012476,0.0012476
21,92.8357,1.25617,1.35467,1.41518,0.54039,0.66667,0.57492,0.21205,1.98619,1.82437,2.04681,0.001208,0.001208,0.001208
22,97.0424,1.17324,1.26115,1.36684,0.58358,0.50725,0.53895,0.1956,2.04449,2.06783,2.08935,0.0011684,0.0011684,0.0011684
23,101.006,1.26333,1.45254,1.43229,0.58358,0.50725,0.53895,0.1956,2.04449,2.06783,2.08935,0.0011288,0.0011288,0.0011288
24,105.62,1.24789,1.23919,1.44611,0.58358,0.50725,0.53895,0.1956,2.04449,2.06783,2.08935,0.0010892,0.0010892,0.0010892
25,110.329,1.33717,1.32127,1.54898,0.37218,0.44928,0.39736,0.14583,2.10017,2.50132,2.02304,0.0010496,0.0010496,0.0010496
26,114.43,1.2183,1.15826,1.33166,0.37218,0.44928,0.39736,0.14583,2.10017,2.50132,2.02304,0.00101,0.00101,0.00101
27,118.854,1.25489,1.24268,1.44754,0.37218,0.44928,0.39736,0.14583,2.10017,2.50132,2.02304,0.0009704,0.0009704,0.0009704
28,123.446,1.20482,1.20946,1.39045,0.28732,0.53623,0.30964,0.1216,2.04184,2.74004,1.92019,0.0009308,0.0009308,0.0009308
29,127.862,1.10144,1.11035,1.32072,0.28732,0.53623,0.30964,0.1216,2.04184,2.74004,1.92019,0.0008912,0.0008912,0.0008912
30,132.279,1.33915,1.28311,1.4782,0.28732,0.53623,0.30964,0.1216,2.04184,2.74004,1.92019,0.0008516,0.0008516,0.0008516
31,136.732,1.25318,1.21604,1.40827,0.42049,0.44171,0.39993,0.15366,2.08385,2.7009,1.93615,0.000812,0.000812,0.000812
32,141.189,1.15492,1.12429,1.34177,0.42049,0.44171,0.39993,0.15366,2.08385,2.7009,1.93615,0.0007724,0.0007724,0.0007724
33,145.569,1.14886,1.05557,1.3317,0.42049,0.44171,0.39993,0.15366,2.08385,2.7009,1.93615,0.0007328,0.0007328,0.0007328
34,150.095,1.14436,1.10229,1.31514,0.47485,0.81248,0.54155,0.22003,2.01469,3.13267,1.88577,0.0006932,0.0006932,0.0006932
35,154.144,1.10857,1.36405,1.40411,0.47485,0.81248,0.54155,0.22003,2.01469,3.13267,1.88577,0.0006536,0.0006536,0.0006536
36,158.046,1.3325,1.12439,1.55901,0.47485,0.81248,0.54155,0.22003,2.01469,3.13267,1.88577,0.000614,0.000614,0.000614
37,161.827,1.29271,1.15945,1.5053,0.62113,0.81159,0.66276,0.23244,2.20529,2.82594,2.10168,0.0005744,0.0005744,0.0005744
38,165.446,1.1646,1.1708,1.36765,0.62113,0.81159,0.66276,0.23244,2.20529,2.82594,2.10168,0.0005348,0.0005348,0.0005348
39,169.233,1.27085,1.28067,1.33453,0.62113,0.81159,0.66276,0.23244,2.20529,2.82594,2.10168,0.0004952,0.0004952,0.0004952
40,172.835,1.18515,1.07103,1.37688,0.63604,0.81159,0.70542,0.18607,2.42344,2.68636,2.36069,0.0004556,0.0004556,0.0004556
41,176.505,0.8313,1.00321,1.1007,0.63604,0.81159,0.70542,0.18607,2.42344,2.68636,2.36069,0.000416,0.000416,0.000416
42,180.734,0.94738,1.07088,1.19005,0.63604,0.81159,0.70542,0.18607,2.42344,2.68636,2.36069,0.0003764,0.0003764,0.0003764
43,185.121,1.09992,1.1332,1.30787,0.69096,0.69565,0.75265,0.16575,2.48672,2.61376,2.48171,0.0003368,0.0003368,0.0003368
44,189.368,0.84378,0.93708,1.09978,0.69096,0.69565,0.75265,0.16575,2.48672,2.61376,2.48171,0.0002972,0.0002972,0.0002972
45,193.622,0.94308,1.1377,1.2077,0.69096,0.69565,0.75265,0.16575,2.48672,2.61376,2.48171,0.0002576,0.0002576,0.0002576
46,197.995,1.13363,1.17282,1.40932,0.87061,0.69565,0.82898,0.20735,2.37997,2.33588,2.40164,0.000218,0.000218,0.000218
47,202.433,0.87835,0.94068,1.12516,0.87061,0.69565,0.82898,0.20735,2.37997,2.33588,2.40164,0.0001784,0.0001784,0.0001784
48,206.683,0.88677,1.01409,1.14081,0.87061,0.69565,0.82898,0.20735,2.37997,2.33588,2.40164,0.0001388,0.0001388,0.0001388
49,211.047,0.96329,1.06345,1.20213,0.91581,0.78828,0.89377,0.28537,2.17596,1.92535,2.1575,9.92e-05,9.92e-05,9.92e-05
50,215.339,0.88752,0.99083,1.17521,0.91581,0.78828,0.89377,0.28537,2.17596,1.92535,2.1575,5.96e-05,5.96e-05,5.96e-05
